Date,binancecoin,ftx-token,okb,huobi-token,gatechain-token,kucoin-shares
2020/1/1 0:00,13.71639052,2.144685047,2.617367817,2.745711886,0.350637632,0.908827678
2020/1/2 0:00,13.68590249,2.143000128,2.620820845,2.816848308,0.353788129,0.909896849
2020/1/3 0:00,13.00717054,2.142017786,2.549812911,2.754515743,0.343728368,0.86122367
2020/1/4 0:00,13.60327558,2.200569589,2.63940751,2.831306509,0.353166151,0.927160611
2020/1/5 0:00,13.79457523,2.168426794,2.644457245,2.89372055,0.354279559,0.994478456
2020/1/6 0:00,14.00636071,2.136903485,2.656090202,2.915524763,0.386060522,1.036383093
2020/1/7 0:00,14.90050444,2.183068397,2.789419797,3.03258173,0.385683944,1.085339198
2020/1/8 0:00,14.96951629,2.163354575,2.879993642,3.130707984,0.393151795,1.079368807
2020/1/9 0:00,14.49911394,2.177220418,2.787409557,3.052612513,0.381572214,1.045747766
2020/1/10 0:00,14.40240029,2.159654686,2.827340997,3.045367668,0.384408687,1.030686545
2020/1/11 0:00,15.07265126,2.230541661,2.894824993,3.110997636,0.389673042,1.02399056
2020/1/12 0:00,14.89765484,2.140005499,2.889002793,3.147471571,0.408822491,1.032161331
2020/1/13 0:00,15.30362181,2.180839725,2.897371473,3.080864732,0.414147996,1.027111593
2020/1/14 0:00,15.16279627,2.151348764,2.881254059,3.034070226,0.402270781,1.013209881
2020/1/15 0:00,16.65121704,2.181515598,3.046479251,3.22682569,0.433171982,1.077055957
2020/1/16 0:00,17.65995959,2.360040405,3.16374407,3.278876879,0.440573783,1.073792275
2020/1/17 0:00,17.01346228,2.393891056,3.080126447,3.237747044,0.411345505,1.095198919
2020/1/18 0:00,18.06731694,2.380915415,3.059748175,3.269779758,0.430035941,1.087258243
2020/1/19 0:00,17.77956566,2.37574307,2.931662422,3.211668702,0.416186685,1.072968103
2020/1/20 0:00,17.3546721,2.279565511,2.952032123,3.142909599,0.403592152,1.034589009
2020/1/21 0:00,17.33176895,2.262775646,2.928103182,3.168844648,0.411322153,1.037915661
2020/1/22 0:00,18.10566377,2.346906809,2.940946753,3.251311994,0.421213977,1.029220115
2020/1/23 0:00,17.78528737,2.318500495,2.921701641,3.239199679,0.428822311,1.038716537
2020/1/24 0:00,16.98120135,2.223789859,2.775406675,3.140343371,0.413437033,1.022522764
2020/1/25 0:00,17.02580292,2.262195473,2.86787855,3.110431516,0.415966953,1.040216982
2020/1/26 0:00,16.94388901,2.219969581,2.800743828,3.079378157,0.416395415,1.024597508
2020/1/27 0:00,17.43695281,2.283983359,2.859706888,3.140484957,0.424184252,1.037993254
2020/1/28 0:00,17.63534383,2.366317059,2.935537289,3.184474187,0.429060896,1.064515858
2020/1/29 0:00,18.05671871,2.436677674,3.036039679,3.247263532,0.440107846,1.105710116
2020/1/30 0:00,17.84868978,2.345820764,3.125290037,3.372952991,0.440040958,1.138954739
2020/1/31 0:00,18.57446821,2.405071044,3.210755689,3.497268226,0.444301829,1.161886906
2020/2/1 0:00,18.10259189,2.364236633,3.167895029,3.422270677,0.435791694,1.14776235
2020/2/2 0:00,18.14697994,2.341227516,3.245971102,3.460437192,0.436102801,1.152052115
2020/2/3 0:00,18.42978587,2.318280346,3.245389112,3.468171548,0.437857831,1.147574859
2020/2/4 0:00,18.46972778,2.299175486,3.277097361,3.45089369,0.434204852,1.144827149
2020/2/5 0:00,18.12227006,2.245273908,3.276300495,3.421661146,0.433358111,1.120613486
2020/2/6 0:00,19.18498174,2.338016911,3.491916182,3.571487351,0.459610164,1.149829579
2020/2/7 0:00,20.60635932,2.401311703,3.747096226,3.722184682,0.531137439,1.173176653
2020/2/8 0:00,22.12459724,2.381811223,3.837169817,3.906724154,0.562232133,1.172181714
2020/2/9 0:00,21.79557767,2.38630318,3.863595883,3.821547052,0.55489621,1.183725901
2020/2/10 0:00,23.91937491,2.404970098,3.952285059,3.950043828,0.570807705,1.241152328
2020/2/11 0:00,25.25283145,2.497150254,5.527855254,4.708651408,0.669146726,1.278029779
2020/2/12 0:00,25.67332748,2.556813965,5.558884192,4.651496929,0.650298279,1.310246972
2020/2/13 0:00,26.42048901,2.5816606,5.910529385,4.883568954,0.67338086,1.318758961
2020/2/14 0:00,25.40353101,2.513594673,5.894889685,4.75999774,0.632594749,1.270649791
2020/2/15 0:00,26.23761464,2.562326264,6.431446674,5.036386883,0.656765846,1.294314918
2020/2/16 0:00,24.06623247,2.514973633,6.569165995,4.856747404,0.60657176,1.255657558
2020/2/17 0:00,23.64223437,2.963030141,6.76248992,5.067632455,0.642355895,1.267048229
2020/2/18 0:00,23.57106009,2.733676816,6.596622006,4.76835058,0.630023803,1.24650115
2020/2/19 0:00,24.02472172,2.844141618,6.746721406,4.968547111,0.648544629,1.305040148
2020/2/20 0:00,22.25110406,2.657672458,6.767403157,4.770758281,0.629786718,1.231667973
2020/2/21 0:00,22.1400916,2.627257922,6.597134403,4.751545601,0.622727682,1.248174229
